year,county,Description,LineCode,GeoFips,GDP_Change
2011,Otero,Private industries,2.0,8089,7.5
2011,Otero,"Agriculture, forestry, fishing and hunting",3.0,8089,50.9
2011,Otero,Real estate and rental and leasing,56.0,8089,3.7
2011,Otero,Government and government enterprises,83.0,8089,-2.8
2011,Ouray,All industry total,1.0,8091,-2.9
2011,Ouray,Private industries,2.0,8091,-2.3
2011,Ouray,"Agriculture, forestry, fishing and hunting",3.0,8091,-70.2
2011,Ouray,Real estate and rental and leasing,56.0,8091,0.4
2011,Ouray,Government and government enterprises,83.0,8091,-6.5
2011,Park,All industry total,1.0,8093,1.5
2011,Park,Private industries,2.0,8093,2.6
2011,Park,"Agriculture, forestry, fishing and hunting",3.0,8093,-42.2
2011,Park,Real estate and rental and leasing,56.0,8093,2.2
2011,Park,Government and government enterprises,83.0,8093,-5.2
2011,Phillips,All industry total,1.0,8095,23.6
2011,Phillips,Private industries,2.0,8095,27.5
2011,Phillips,"Agriculture, forestry, fishing and hunting",3.0,8095,63
2011,Phillips,Real estate and rental and leasing,56.0,8095,(D)
2011,Phillips,Government and government enterprises,83.0,8095,0.8
2011,Pitkin,All industry total,1.0,8097,0.6
2011,Pitkin,Private industries,2.0,8097,0.8
2011,Pitkin,"Agriculture, forestry, fishing and hunting",3.0,8097,(D)
2011,Pitkin,Real estate and rental and leasing,56.0,8097,5.4
2011,Pitkin,Government and government enterprises,83.0,8097,-0.5
2011,Prowers,All industry total,1.0,8099,-2.6
2011,Prowers,Private industries,2.0,8099,-2.4
2011,Prowers,"Agriculture, forestry, fishing and hunting",3.0,8099,-10.5
2011,Prowers,Real estate and rental and leasing,56.0,8099,1.3
2011,Prowers,Government and government enterprises,83.0,8099,-3.4
2011,Pueblo,All industry total,1.0,8101,4.7
2011,Pueblo,Private industries,2.0,8101,5.6
2011,Pueblo,"Agriculture, forestry, fishing and hunting",3.0,8101,500.2
2011,Pueblo,Real estate and rental and leasing,56.0,8101,3.7
2011,Pueblo,Government and government enterprises,83.0,8101,0.1
2011,Routt,All industry total,1.0,8107,3.6
2011,Routt,Private industries,2.0,8107,3.9
2011,Routt,"Agriculture, forestry, fishing and hunting",3.0,8107,(D)
2011,Routt,Real estate and rental and leasing,56.0,8107,0.2
2011,Routt,Government and government enterprises,83.0,8107,-1.5
2011,Saguache,All industry total,1.0,8109,23.7
2011,Saguache,Private industries,2.0,8109,30.4
2011,Saguache,"Agriculture, forestry, fishing and hunting",3.0,8109,91.4
2011,Saguache,Real estate and rental and leasing,56.0,8109,2.4
2011,Saguache,Government and government enterprises,83.0,8109,-4.9
2011,Sedgwick,All industry total,1.0,8115,14.3
2011,Sedgwick,Private industries,2.0,8115,16.3
2011,Sedgwick,"Agriculture, forestry, fishing and hunting",3.0,8115,(D)
2011,Sedgwick,Real estate and rental and leasing,56.0,8115,(D)
2011,Sedgwick,Government and government enterprises,83.0,8115,1.4
2011,Summit,All industry total,1.0,8117,0.3
2011,Summit,Private industries,2.0,8117,0.5
2011,Summit,"Agriculture, forestry, fishing and hunting",3.0,8117,(D)
2011,Summit,Real estate and rental and leasing,56.0,8117,0.7
2011,Summit,Government and government enterprises,83.0,8117,-1.8
2011,Teller,All industry total,1.0,8119,1.8
2011,Teller,Private industries,2.0,8119,2.4
2011,Teller,"Agriculture, forestry, fishing and hunting",3.0,8119,-28.9
2011,Teller,Real estate and rental and leasing,56.0,8119,6.5
2011,Teller,Government and government enterprises,83.0,8119,-3.1
2011,Washington,All industry total,1.0,8121,15.2
2011,Washington,Private industries,2.0,8121,17
2011,Washington,"Agriculture, forestry, fishing and hunting",3.0,8121,30
2011,Washington,Real estate and rental and leasing,56.0,8121,(D)
2011,Washington,Government and government enterprises,83.0,8121,0.5
2011,Weld,All industry total,1.0,8123,9
2011,Weld,Private industries,2.0,8123,10.2
2011,Weld,"Agriculture, forestry, fishing and hunting",3.0,8123,(D)
2011,Weld,Real estate and rental and leasing,56.0,8123,6.3
2011,Weld,Government and government enterprises,83.0,8123,-3.2
2011,Yuma,All industry total,1.0,8125,11.3
2011,Yuma,Private industries,2.0,8125,12.3
2011,Yuma,"Agriculture, forestry, fishing and hunting",3.0,8125,21.4
2011,Yuma,Real estate and rental and leasing,56.0,8125,4.6
2011,Yuma,Government and government enterprises,83.0,8125,-0.7
2012,Adams,All industry total,1.0,8001,4
2012,Adams,Private industries,2.0,8001,4.5
2012,Adams,"Agriculture, forestry, fishing and hunting",3.0,8001,-13.2
2012,Adams,Real estate and rental and leasing,56.0,8001,1.6
2012,Adams,Government and government enterprises,83.0,8001,1.7
2012,Alamosa,All industry total,1.0,8003,-1.4
2012,Alamosa,Private industries,2.0,8003,-2.2
2012,Alamosa,"Agriculture, forestry, fishing and hunting",3.0,8003,-49.5
2012,Alamosa,Real estate and rental and leasing,56.0,8003,-0.4
2012,Alamosa,Government and government enterprises,83.0,8003,1.8
2012,Arapahoe,All industry total,1.0,8005,5.3
2012,Arapahoe,Private industries,2.0,8005,5.5
2012,Arapahoe,"Agriculture, forestry, fishing and hunting",3.0,8005,-43.5
2012,Arapahoe,Real estate and rental and leasing,56.0,8005,6.1
2012,Arapahoe,Government and government enterprises,83.0,8005,3.5
2012,Archuleta,All industry total,1.0,8007,6.2
2012,Archuleta,Private industries,2.0,8007,6.8
2012,Archuleta,"Agriculture, forestry, fishing and hunting",3.0,8007,989.1
2012,Archuleta,Real estate and rental and leasing,56.0,8007,7.6
2012,Archuleta,Government and government enterprises,83.0,8007,1.7
2012,Baca,All industry total,1.0,8009,-32.8
2012,Baca,Private industries,2.0,8009,-38.3
2012,Baca,"Agriculture, forestry, fishing and hunting",3.0,8009,-73.6
2012,Baca,Real estate and rental and leasing,56.0,8009,(D)
2012,Baca,Government and government enterprises,83.0,8009,-4.1
2012,Bent,All industry total,1.0,8011,-9
2012,Bent,Private industries,2.0,8011,-4.5
2012,Bent,"Agriculture, forestry, fishing and hunting",3.0,8011,-17.6
2012,Bent,Real estate and rental and leasing,56.0,8011,-1
2012,Bent,Government and government enterprises,83.0,8011,-28.8
2012,Boulder,All industry total,1.0,8013,2.5
2012,Boulder,Private industries,2.0,8013,2.5
2012,Boulder,"Agriculture, forestry, fishing and hunting",3.0,8013,-78.2
2012,Boulder,Real estate and rental and leasing,56.0,8013,5.2
2012,Boulder,Government and government enterprises,83.0,8013,2.2
2012,Broomfield,All industry total,1.0,8014,9.2
2012,Broomfield,Private industries,2.0,8014,9.2
2012,Broomfield,"Agriculture, forestry, fishing and hunting",3.0,8014,-30.3
2012,Broomfield,Real estate and rental and leasing,56.0,8014,3.2
2012,Broomfield,Government and government enterprises,83.0,8014,6.9
2012,Chaffee,All industry total,1.0,8015,4.2
2012,Chaffee,Private industries,2.0,8015,4.6
2012,Chaffee,"Agriculture, forestry, fishing and hunting",3.0,8015,23.4
2012,Chaffee,Real estate and rental and leasing,56.0,8015,0.6
2012,Chaffee,Government and government enterprises,83.0,8015,2.6
2012,Cheyenne,All industry total,1.0,8017,-17.1
2012,Cheyenne,Private industries,2.0,8017,-17.5
2012,Cheyenne,"Agriculture, forestry, fishing and hunting",3.0,8017,-42.5
2012,Cheyenne,Real estate and rental and leasing,56.0,8017,(D)
2012,Cheyenne,Government and government enterprises,83.0,8017,-12
2012,Conejos,All industry total,1.0,8021,-4.9
2012,Conejos,Private industries,2.0,8021,-6
2012,Conejos,"Agriculture, forestry, fishing and hunting",3.0,8021,-52.6
2012,Conejos,Real estate and rental and leasing,56.0,8021,(D)
2012,Conejos,Government and government enterprises,83.0,8021,0.4
2012,Costilla,All industry total,1.0,8023,-16
2012,Costilla,Private industries,2.0,8023,-19.3
2012,Costilla,"Agriculture, forestry, fishing and hunting",3.0,8023,-75.9
2012,Costilla,Real estate and rental and leasing,56.0,8023,(D)
2012,Costilla,Government and government enterprises,83.0,8023,2
2012,Crowley,All industry total,1.0,8025,32.6
2012,Crowley,Private industries,2.0,8025,50.6
2012,Crowley,"Agriculture, forestry, fishing and hunting",3.0,8025,(D)
2012,Crowley,Real estate and rental and leasing,56.0,8025,(D)
2012,Crowley,Government and government enterprises,83.0,8025,1.3
2012,Custer,All industry total,1.0,8027,-1
2012,Custer,Private industries,2.0,8027,-1
2012,Custer,"Agriculture, forestry, fishing and hunting",3.0,8027,15.3
2012,Custer,Real estate and rental and leasing,56.0,8027,-0.5
2012,Custer,Government and government enterprises,83.0,8027,-0.4
2012,Delta,All industry total,1.0,8029,5
2012,Delta,Private industries,2.0,8029,5.7
2012,Delta,"Agriculture, forestry, fishing and hunting",3.0,8029,-49.9
2012,Delta,Real estate and rental and leasing,56.0,8029,2.1
2012,Delta,Government and government enterprises,83.0,8029,1.6
2012,Denver,All industry total,1.0,8031,5.4
2012,Denver,Private industries,2.0,8031,5.7
2012,Denver,"Agriculture, forestry, fishing and hunting",3.0,8031,79.9
2012,Denver,Real estate and rental and leasing,56.0,8031,5
2012,Denver,Government and government enterprises,83.0,8031,3.2
2012,Dolores,All industry total,1.0,8033,-43.2
2012,Dolores,Private industries,2.0,8033,-45.9
2012,Dolores,"Agriculture, forestry, fishing and hunting",3.0,8033,(D)
2012,Dolores,Real estate and rental and leasing,56.0,8033,(D)
2012,Dolores,Government and government enterprises,83.0,8033,2.7
2012,Douglas,All industry total,1.0,8035,9.4
2012,Douglas,Private industries,2.0,8035,9.8
2012,Douglas,"Agriculture, forestry, fishing and hunting",3.0,8035,(D)
2012,Douglas,Real estate and rental and leasing,56.0,8035,-0.6
2012,Douglas,Government and government enterprises,83.0,8035,2.7
2012,Eagle,All industry total,1.0,8037,0
2012,Eagle,Private industries,2.0,8037,0
2012,Eagle,"Agriculture, forestry, fishing and hunting",3.0,8037,-21.4
2012,Eagle,Real estate and rental and leasing,56.0,8037,-7.3
2012,Eagle,Government and government enterprises,83.0,8037,-0.4
2012,Elbert,All industry total,1.0,8039,4.7
2012,Elbert,Private industries,2.0,8039,5.6
2012,Elbert,"Agriculture, forestry, fishing and hunting",3.0,8039,-30.1
2012,Elbert,Real estate and rental and leasing,56.0,8039,0.1
2012,Elbert,Government and government enterprises,83.0,8039,-0.8
2012,Fremont,All industry total,1.0,8043,0.9
2012,Fremont,Private industries,2.0,8043,2.4
2012,Fremont,"Agriculture, forestry, fishing and hunting",3.0,8043,(D)
2012,Fremont,Real estate and rental and leasing,56.0,8043,-0.2
2012,Fremont,Government and government enterprises,83.0,8043,-1.9
2012,Garfield,All industry total,1.0,8045,-9.3
2012,Garfield,Private industries,2.0,8045,-10.3
2012,Garfield,"Agriculture, forestry, fishing and hunting",3.0,8045,14.4
2012,Garfield,Real estate and rental and leasing,56.0,8045,5
2012,Garfield,Government and government enterprises,83.0,8045,2.7
2012,Gilpin,All industry total,1.0,8047,-5
2012,Gilpin,Private industries,2.0,8047,-5.4
2012,Gilpin,"Agriculture, forestry, fishing and hunting",3.0,8047,(D)
2012,Gilpin,Real estate and rental and leasing,56.0,8047,(D)
2012,Gilpin,Government and government enterprises,83.0,8047,1.4
2012,Grand,All industry total,1.0,8049,0.6
2012,Grand,Private industries,2.0,8049,-0.7
2012,Grand,"Agriculture, forestry, fishing and hunting",3.0,8049,(D)
2012,Grand,Real estate and rental and leasing,56.0,8049,2.7
2012,Grand,Government and government enterprises,83.0,8049,8.8
2012,Gunnison,All industry total,1.0,8051,0.3
2012,Gunnison,Private industries,2.0,8051,0.2
2012,Gunnison,"Agriculture, forestry, fishing and hunting",3.0,8051,0.7
2012,Gunnison,Real estate and rental and leasing,56.0,8051,1.6
2012,Gunnison,Government and government enterprises,83.0,8051,0.8
2012,Hinsdale,All industry total,1.0,8053,-3.1
2012,Hinsdale,Private industries,2.0,8053,-3.9
2012,Hinsdale,"Agriculture, forestry, fishing and hunting",3.0,8053,(D)
2012,Hinsdale,Real estate and rental and leasing,56.0,8053,(D)
2012,Hinsdale,Government and government enterprises,83.0,8053,2.9
2012,Huerfano,All industry total,1.0,8055,-26.1
2012,Huerfano,Private industries,2.0,8055,-28.5
2012,Huerfano,"Agriculture, forestry, fishing and hunting",3.0,8055,16.4
2012,Huerfano,Real estate and rental and leasing,56.0,8055,-0.6
2012,Huerfano,Government and government enterprises,83.0,8055,-1.6
2012,Jackson,All industry total,1.0,8057,-23.9
2012,Jackson,Private industries,2.0,8057,-28
2012,Jackson,"Agriculture, forestry, fishing and hunting",3.0,8057,-86
2012,Jackson,Real estate and rental and leasing,56.0,8057,(D)
2012,Jackson,Government and government enterprises,83.0,8057,-2.3
2012,Jefferson,All industry total,1.0,8059,2.5
2012,Jefferson,Private industries,2.0,8059,2.9
2012,Jefferson,"Agriculture, forestry, fishing and hunting",3.0,8059,-75.2
2012,Jefferson,Real estate and rental and leasing,56.0,8059,2
2012,Jefferson,Government and government enterprises,83.0,8059,-0.1
2012,Kiowa,All industry total,1.0,8061,-4.5
2012,Kiowa,Private industries,2.0,8061,-4.6
2012,Kiowa,"Agriculture, forestry, fishing and hunting",3.0,8061,(D)
2012,Kiowa,Real estate and rental and leasing,56.0,8061,(D)
2012,Kiowa,Government and government enterprises,83.0,8061,-4.3
2012,Lake,All industry total,1.0,8065,38.6
2012,Lake,Private industries,2.0,8065,51.3
2012,Lake,"Agriculture, forestry, fishing and hunting",3.0,8065,(D)
2012,Lake,Real estate and rental and leasing,56.0,8065,-1.4
2012,Lake,Government and government enterprises,83.0,8065,-5.9
2012,Larimer,All industry total,1.0,8069,4.4
2012,Larimer,Private industries,2.0,8069,4.7
2012,Larimer,"Agriculture, forestry, fishing and hunting",3.0,8069,4.4
2012,Larimer,Real estate and rental and leasing,56.0,8069,2
2012,Larimer,Government and government enterprises,83.0,8069,2.8
2012,Lincoln,All industry total,1.0,8073,18
2012,Lincoln,Private industries,2.0,8073,23.7
2012,Lincoln,"Agriculture, forestry, fishing and hunting",3.0,8073,(D)
2012,Lincoln,Real estate and rental and leasing,56.0,8073,-1.6
2012,Lincoln,Government and government enterprises,83.0,8073,0.9
2012,Logan,All industry total,1.0,8075,6.4
2012,Logan,Private industries,2.0,8075,7.5
2012,Logan,"Agriculture, forestry, fishing and hunting",3.0,8075,33.5
2012,Logan,Real estate and rental and leasing,56.0,8075,0
2012,Logan,Government and government enterprises,83.0,8075,-0.8
2012,Mesa,All industry total,1.0,8077,1.9
2012,Mesa,Private industries,2.0,8077,2.1
2012,Mesa,"Agriculture, forestry, fishing and hunting",3.0,8077,(D)
2012,Mesa,Real estate and rental and leasing,56.0,8077,-0.5
2012,Mesa,Government and government enterprises,83.0,8077,0.6
2012,Mineral,All industry total,1.0,8079,6.6
2012,Mineral,Private industries,2.0,8079,7.4
2012,Mineral,"Agriculture, forestry, fishing and hunting",3.0,8079,(D)
2012,Mineral,Real estate and rental and leasing,56.0,8079,(D)
2012,Mineral,Government and government enterprises,83.0,8079,-1.5
2012,Moffat,All industry total,1.0,8081,-8.4
2012,Moffat,Private industries,2.0,8081,-9.2
2012,Moffat,"Agriculture, forestry, fishing and hunting",3.0,8081,-92
2012,Moffat,Real estate and rental and leasing,56.0,8081,-0.7
2012,Moffat,Government and government enterprises,83.0,8081,2.2
2012,Montezuma,All industry total,1.0,8083,-16.8
2012,Montezuma,Private industries,2.0,8083,-18.3
2012,Montezuma,"Agriculture, forestry, fishing and hunting",3.0,8083,-7.4
2012,Montezuma,Real estate and rental and leasing,56.0,8083,2.4
2012,Montezuma,Government and government enterprises,83.0,8083,-0.5
2012,Montrose,All industry total,1.0,8085,1.8
2012,Montrose,Private industries,2.0,8085,2.5
2012,Montrose,"Agriculture, forestry, fishing and hunting",3.0,8085,79.1
2012,Montrose,Real estate and rental and leasing,56.0,8085,0.6
2012,Montrose,Government and government enterprises,83.0,8085,-1.6
2012,Morgan,All industry total,1.0,8087,4.3
2012,Morgan,Private industries,2.0,8087,4.8
2012,Morgan,"Agriculture, forestry, fishing and hunting",3.0,8087,29.2
2012,Morgan,Real estate and rental and leasing,56.0,8087,-2.1
2012,Morgan,Government and government enterprises,83.0,8087,-0.8
2012,Otero,All industry total,1.0,8089,1
2012,Otero,Private industries,2.0,8089,1
2012,Otero,"Agriculture, forestry, fishing and hunting",3.0,8089,-12.8
2012,Otero,Real estate and rental and leasing,56.0,8089,0.9
2012,Otero,Government and government enterprises,83.0,8089,1.3
2012,Ouray,All industry total,1.0,8091,10.3
2012,Ouray,Private industries,2.0,8091,11.7
2012,Ouray,"Agriculture, forestry, fishing and hunting",3.0,8091,74.8
2012,Ouray,Real estate and rental and leasing,56.0,8091,-1
2012,Ouray,Government and government enterprises,83.0,8091,0.8
2012,Park,All industry total,1.0,8093,1.7
2012,Park,Private industries,2.0,8093,2
2012,Park,"Agriculture, forestry, fishing and hunting",3.0,8093,-28.6
2012,Park,Real estate and rental and leasing,56.0,8093,-0.3
2012,Park,Government and government enterprises,83.0,8093,-0.6
2012,Phillips,All industry total,1.0,8095,-8.3
2012,Phillips,Private industries,2.0,8095,-10.3
2012,Phillips,"Agriculture, forestry, fishing and hunting",3.0,8095,-26.9
2012,Phillips,Real estate and rental and leasing,56.0,8095,(D)
2012,Phillips,Government and government enterprises,83.0,8095,7.6
2012,Pitkin,All industry total,1.0,8097,5.3
2012,Pitkin,Private industries,2.0,8097,5.4
2012,Pitkin,"Agriculture, forestry, fishing and hunting",3.0,8097,(D)
2012,Pitkin,Real estate and rental and leasing,56.0,8097,12.9
2012,Pitkin,Government and government enterprises,83.0,8097,4.3
2012,Prowers,All industry total,1.0,8099,7.9
2012,Prowers,Private industries,2.0,8099,9.8
2012,Prowers,"Agriculture, forestry, fishing and hunting",3.0,8099,25.8
2012,Prowers,Real estate and rental and leasing,56.0,8099,-0.7
2012,Prowers,Government and government enterprises,83.0,8099,-2.5
2012,Pueblo,All industry total,1.0,8101,4.2
2012,Pueblo,Private industries,2.0,8101,4.9
2012,Pueblo,"Agriculture, forestry, fishing and hunting",3.0,8101,-87.3
2012,Pueblo,Real estate and rental and leasing,56.0,8101,-0.5
2012,Pueblo,Government and government enterprises,83.0,8101,0.1
2012,Routt,All industry total,1.0,8107,-2
2012,Routt,Private industries,2.0,8107,-2.3
2012,Routt,"Agriculture, forestry, fishing and hunting",3.0,8107,(D)
2012,Routt,Real estate and rental and leasing,56.0,8107,4.4
2012,Routt,Government and government enterprises,83.0,8107,2.9
2012,Saguache,All industry total,1.0,8109,-15.2
2012,Saguache,Private industries,2.0,8109,-18.2
2012,Saguache,"Agriculture, forestry, fishing and hunting",3.0,8109,-48.1
2012,Saguache,Real estate and rental and leasing,56.0,8109,-1.1
2012,Saguache,Government and government enterprises,83.0,8109,1.8
2012,Sedgwick,All industry total,1.0,8115,-1.4
2012,Sedgwick,Private industries,2.0,8115,-2.2
2012,Sedgwick,"Agriculture, forestry, fishing and hunting",3.0,8115,(D)
2012,Sedgwick,Real estate and rental and leasing,56.0,8115,(D)
2012,Sedgwick,Government and government enterprises,83.0,8115,3.9
2012,Summit,All industry total,1.0,8117,0.6
2012,Summit,Private industries,2.0,8117,0.5
2012,Summit,"Agriculture, forestry, fishing and hunting",3.0,8117,(D)
2012,Summit,Real estate and rental and leasing,56.0,8117,-0.8
2012,Summit,Government and government enterprises,83.0,8117,1.5
2012,Teller,All industry total,1.0,8119,-0.7
2012,Teller,Private industries,2.0,8119,-0.9
2012,Teller,"Agriculture, forestry, fishing and hunting",3.0,8119,21.7
2012,Teller,Real estate and rental and leasing,56.0,8119,-0.7
2012,Teller,Government and government enterprises,83.0,8119,1.5
2012,Washington,All industry total,1.0,8121,-9.8
2012,Washington,Private industries,2.0,8121,-10.8
2012,Washington,"Agriculture, forestry, fishing and hunting",3.0,8121,-27
2012,Washington,Real estate and rental and leasing,56.0,8121,(D)
2012,Washington,Government and government enterprises,83.0,8121,-0.2
2012,Weld,All industry total,1.0,8123,8.8
2012,Weld,Private industries,2.0,8123,9.3
2012,Weld,"Agriculture, forestry, fishing and hunting",3.0,8123,5.3
2012,Weld,Real estate and rental and leasing,56.0,8123,0
2012,Weld,Government and government enterprises,83.0,8123,2.4
2012,Yuma,All industry total,1.0,8125,5.9
2012,Yuma,Private industries,2.0,8125,6.1
2012,Yuma,"Agriculture, forestry, fishing and hunting",3.0,8125,25.5
2012,Yuma,Real estate and rental and leasing,56.0,8125,2.6
2012,Yuma,Government and government enterprises,83.0,8125,3.4
2013,Adams,All industry total,1.0,8001,5.8
2013,Adams,Private industries,2.0,8001,5.7
2013,Adams,"Agriculture, forestry, fishing and hunting",3.0,8001,-31.4
2013,Adams,Real estate and rental and leasing,56.0,8001,-1.6
2013,Adams,Government and government enterprises,83.0,8001,6.2
2013,Alamosa,All industry total,1.0,8003,3.8
2013,Alamosa,Private industries,2.0,8003,4.5
2013,Alamosa,"Agriculture, forestry, fishing and hunting",3.0,8003,53.8
2013,Alamosa,Real estate and rental and leasing,56.0,8003,-2.5
2013,Alamosa,Government and government enterprises,83.0,8003,1.2
2013,Arapahoe,All industry total,1.0,8005,8.3
2013,Arapahoe,Private industries,2.0,8005,8.9
2013,Arapahoe,"Agriculture, forestry, fishing and hunting",3.0,8005,-33.9
2013,Arapahoe,Real estate and rental and leasing,56.0,8005,41.7
2013,Arapahoe,Government and government enterprises,83.0,8005,1.9
2013,Archuleta,All industry total,1.0,8007,-3.2
2013,Archuleta,Private industries,2.0,8007,-4.2
2013,Archuleta,"Agriculture, forestry, fishing and hunting",3.0,8007,77.1
2013,Archuleta,Real estate and rental and leasing,56.0,8007,-6.4
2013,Archuleta,Government and government enterprises,83.0,8007,5.5
2013,Baca,All industry total,1.0,8009,37.7
2013,Baca,Private industries,2.0,8009,48.7
2013,Baca,"Agriculture, forestry, fishing and hunting",3.0,8009,206.9
2013,Baca,Real estate and rental and leasing,56.0,8009,(D)
2013,Baca,Government and government enterprises,83.0,8009,1
2013,Bent,All industry total,1.0,8011,5.7
2013,Bent,Private industries,2.0,8011,7.5
2013,Bent,"Agriculture, forestry, fishing and hunting",3.0,8011,21.8
2013,Bent,Real estate and rental and leasing,56.0,8011,(D)
2013,Bent,Government and government enterprises,83.0,8011,-5
2013,Boulder,All industry total,1.0,8013,4.4
2013,Boulder,Private industries,2.0,8013,4.6
2013,Boulder,"Agriculture, forestry, fishing and hunting",3.0,8013,61.2
2013,Boulder,Real estate and rental and leasing,56.0,8013,-1
2013,Boulder,Government and government enterprises,83.0,8013,3.3
2013,Broomfield,All industry total,1.0,8014,-1.8
2013,Broomfield,Private industries,2.0,8014,-1.9
2013,Broomfield,"Agriculture, forestry, fishing and hunting",3.0,8014,(D)
2013,Broomfield,Real estate and rental and leasing,56.0,8014,0.3
2013,Broomfield,Government and government enterprises,83.0,8014,8.4
2013,Chaffee,All industry total,1.0,8015,4.8
2013,Chaffee,Private industries,2.0,8015,4.8
2013,Chaffee,"Agriculture, forestry, fishing and hunting",3.0,8015,36.5
2013,Chaffee,Real estate and rental and leasing,56.0,8015,-5.7
2013,Chaffee,Government and government enterprises,83.0,8015,4.9
2013,Cheyenne,All industry total,1.0,8017,20.3
2013,Cheyenne,Private industries,2.0,8017,21.9
2013,Cheyenne,"Agriculture, forestry, fishing and hunting",3.0,8017,76.9
2013,Cheyenne,Real estate and rental and leasing,56.0,8017,(D)
2013,Cheyenne,Government and government enterprises,83.0,8017,-1.4
2013,Conejos,All industry total,1.0,8021,11.4
2013,Conejos,Private industries,2.0,8021,13
2013,Conejos,"Agriculture, forestry, fishing and hunting",3.0,8021,83.7
2013,Conejos,Real estate and rental and leasing,56.0,8021,(D)
2013,Conejos,Government and government enterprises,83.0,8021,4.2
2013,Costilla,All industry total,1.0,8023,14.5
2013,Costilla,Private industries,2.0,8023,17.1
2013,Costilla,"Agriculture, forestry, fishing and hunting",3.0,8023,116.8
2013,Costilla,Real estate and rental and leasing,56.0,8023,(D)
2013,Costilla,Government and government enterprises,83.0,8023,2.8
2013,Crowley,All industry total,1.0,8025,6.3
2013,Crowley,Private industries,2.0,8025,7.8
2013,Crowley,"Agriculture, forestry, fishing and hunting",3.0,8025,(D)
2013,Crowley,Real estate and rental and leasing,56.0,8025,(D)
2013,Crowley,Government and government enterprises,83.0,8025,2.5
2013,Custer,All industry total,1.0,8027,7.5
2013,Custer,Private industries,2.0,8027,8.3
2013,Custer,"Agriculture, forestry, fishing and hunting",3.0,8027,33.7
2013,Custer,Real estate and rental and leasing,56.0,8027,-2.9
2013,Custer,Government and government enterprises,83.0,8027,1.1
2013,Delta,All industry total,1.0,8029,-2.3
2013,Delta,Private industries,2.0,8029,-2.7
2013,Delta,"Agriculture, forestry, fishing and hunting",3.0,8029,-16.2
2013,Delta,Real estate and rental and leasing,56.0,8029,-1.2
2013,Delta,Government and government enterprises,83.0,8029,-0.2
2013,Denver,All industry total,1.0,8031,7.6
2013,Denver,Private industries,2.0,8031,8
2013,Denver,"Agriculture, forestry, fishing and hunting",3.0,8031,-22.2
2013,Denver,Real estate and rental and leasing,56.0,8031,-0.7
2013,Denver,Government and government enterprises,83.0,8031,3.6
2013,Dolores,All industry total,1.0,8033,22.3
2013,Dolores,Private industries,2.0,8033,24.1
2013,Dolores,"Agriculture, forestry, fishing and hunting",3.0,8033,(D)
2013,Dolores,Real estate and rental and leasing,56.0,8033,(D)
2013,Dolores,Government and government enterprises,83.0,8033,6.3
2013,Douglas,All industry total,1.0,8035,3.7
2013,Douglas,Private industries,2.0,8035,3.6
2013,Douglas,"Agriculture, forestry, fishing and hunting",3.0,8035,(D)
2013,Douglas,Real estate and rental and leasing,56.0,8035,11.2
2013,Douglas,Government and government enterprises,83.0,8035,5.3
2013,Eagle,All industry total,1.0,8037,13.3
2013,Eagle,Private industries,2.0,8037,14.4
2013,Eagle,"Agriculture, forestry, fishing and hunting",3.0,8037,48.5
2013,Eagle,Real estate and rental and leasing,56.0,8037,10.1
2013,Eagle,Government and government enterprises,83.0,8037,1.4
2013,Elbert,All industry total,1.0,8039,3.1
2013,Elbert,Private industries,2.0,8039,3.6
2013,Elbert,"Agriculture, forestry, fishing and hunting",3.0,8039,44.4
2013,Elbert,Real estate and rental and leasing,56.0,8039,-2.1
2013,Elbert,Government and government enterprises,83.0,8039,-0.2
2013,Fremont,All industry total,1.0,8043,-2.3
2013,Fremont,Private industries,2.0,8043,-2.7
2013,Fremont,"Agriculture, forestry, fishing and hunting",3.0,8043,(D)
2013,Fremont,Real estate and rental and leasing,56.0,8043,-3.6
2013,Fremont,Government and government enterprises,83.0,8043,-1.6
2013,Garfield,All industry total,1.0,8045,4.9
2013,Garfield,Private industries,2.0,8045,5
2013,Garfield,"Agriculture, forestry, fishing and hunting",3.0,8045,63.9
2013,Garfield,Real estate and rental and leasing,56.0,8045,-5.8
2013,Garfield,Government and government enterprises,83.0,8045,2.9
2013,Gilpin,All industry total,1.0,8047,2.7
2013,Gilpin,Private industries,2.0,8047,2.6
2013,Gilpin,"Agriculture, forestry, fishing and hunting",3.0,8047,(D)
2013,Gilpin,Real estate and rental and leasing,56.0,8047,(D)
2013,Gilpin,Government and government enterprises,83.0,8047,3.4
2013,Grand,All industry total,1.0,8049,5.4
2013,Grand,Private industries,2.0,8049,5.8
2013,Grand,"Agriculture, forestry, fishing and hunting",3.0,8049,234.1
2013,Grand,Real estate and rental and leasing,56.0,8049,-0.6
2013,Grand,Government and government enterprises,83.0,8049,2.4
2013,Gunnison,All industry total,1.0,8051,-13.5
2013,Gunnison,Private industries,2.0,8051,-15.1
2013,Gunnison,"Agriculture, forestry, fishing and hunting",3.0,8051,72.3
2013,Gunnison,Real estate and rental and leasing,56.0,8051,0.1
2013,Gunnison,Government and government enterprises,83.0,8051,0.1
2013,Hinsdale,All industry total,1.0,8053,4.5
2013,Hinsdale,Private industries,2.0,8053,4.7
2013,Hinsdale,"Agriculture, forestry, fishing and hunting",3.0,8053,(D)
2013,Hinsdale,Real estate and rental and leasing,56.0,8053,(D)
